City,type,room_number,Area,Street,number_in_street,city_area,price
רעננה,דירה,3 חד׳,"90 מ""ר",גאולה,9,קרית שרת,3100000
רעננה,דירה,5 חד׳,"150 מ""ר",עגנון ,4,מרכז דרום,4200000
רעננה,קוטג',7 חד׳,"265 מ""ר",קריית אליהו גולומב,,,8300000
רעננה,קוטג',7 חד׳,"260 מ""ר",דיין משה,,מרכז דרום,7850000
רעננה,דירה,4 חד׳,"100 מ""ר",בורוכוב,28,קרית דוד רמז,2900000
רעננה,דירה,4 חד׳,"103 מ""ר",הגליל,,קרית דוד רמז,5190000
רעננה,בית פרטי,2 חד׳,"70 מ""ר",רום 2000,,,6100000
רעננה,דירה,4 חד׳,"92 מ""ר",רימלט אלימלך,4,לב הפארק,3150000
רעננה,דירת גג,6.5 חד׳,"200 מ""ר",,,,
רעננה,בית פרטי,7.5 חד׳,"280 מ""ר",ידין יגאל,1,מרכז דרום,6690000
רעננה,דופלקס,6 חד׳,"168 מ""ר",חטיבת גבעתי,,קרית ויצמן,5150000
רעננה,בית פרטי,9 חד׳,"300 מ""ר",,,,
רעננה,דירה,5 חד׳,"136 מ""ר",,,,
רעננה,דירה,5 חד׳,"126 מ""ר",,,,
רעננה,דירה,4 חד׳,"112 מ""ר",,,,
רעננה,דירה,5 חד׳,"148 מ""ר",,,,
רעננה,דירה,4 חד׳,"95 מ""ר",,,,
רעננה,דירה,4.5 חד׳,"140 מ""ר",,,,
רעננה,דירה,5 חד׳,"130 מ""ר",,,,
רעננה,דירה,6 חד׳,"150 מ""ר",,,,
רעננה,דירה,3.5 חד׳,"75 מ""ר",,,,
רעננה,דירה,5 חד׳,"140 מ""ר",,,,
רעננה,דירה,4 חד׳,"100 מ""ר",,,,
רעננה,דירת גן,5 חד׳,"125 מ""ר",,,,
רעננה,דופלקס,5.5 חד׳,"230 מ""ר",,,,
רעננה,דירה,4 חד׳,"100 מ""ר",,,,
רעננה,דירה,5 חד׳,"122 מ""ר",,,,
רעננה,דו משפחתי,5 חד׳,"153 מ""ר",,,,
רעננה,דו משפחתי,8 חד׳,"330 מ""ר",,,,
רעננה,דירה,5 חד׳,"143 מ""ר",,,,
רעננה,דירה,4 חד׳,"125 מ""ר",,,,
רעננה,דירה,4 חד׳,"140 מ""ר",,,,
רעננה,דירה,4.5 חד׳,"154 מ""ר",,,,
רעננה,דירה,4 חד׳,"133 מ""ר",,,,
